Close,RSI,MACD,MACD_Signal
80.07499694824219,52.62384619818596,0.8191451535439143,0.9395999947229283
78.26249694824219,45.8319926965515,0.5950123346749905,0.8706824627133407
74.54499816894531,35.66476422421867,0.11607632228763975,0.7197612346282006
72.0199966430664,30.68552596250973,-0.46190587549095596,0.4834278126043693
73.1624984741211,35.100658873753815,-0.8183372989029749,0.22307479030290045
68.37999725341797,27.27014637642533,-1.4697769753200163,-0.11549556282168288
68.33999633789062,27.21545862074538,-1.9666055472521293,-0.4857175597077722
74.70249938964844,45.8252754704623,-1.8258971416769327,-0.7537534761016044
72.33000183105469,41.55827299595576,-1.8841066332459633,-0.9798241075304762
75.68499755859375,48.81632617872426,-1.6406060727827452,-1.11198050058093
73.2300033569336,44.46466282364832,-1.6269729081900692,-1.214978982102758
72.25749969482422,42.835662592610326,-1.6753292917892537,-1.307049044040057
66.5425033569336,34.77331328776768,-2.150020419377725,-1.4756433191075906
71.33499908447266,44.24953245098988,-2.115120413788617,-1.603538738043796
68.85749816894531,40.9383939193827,-2.261308568895771,-1.735092704214191
62.057498931884766,33.52360064866738,-2.8925236316210743,-1.9665788896955678
69.49250030517578,45.20879568118975,-2.7609965925066007,-2.1254624302577745
60.5525016784668,36.82638949187659,-3.3396462774677076,-2.368299199699761
63.21500015258789,40.37232042009911,-3.5425526050433263,-2.6031498807684743
61.66749954223633,39.00204430021745,-3.7846011712910865,-2.839440138872997
61.19499969482422,38.5715700072141,-3.96880329881391,-3.0653127708611794
57.310001373291016,35.13753305846595,-4.377807073390684,-3.3278116313670805
56.092498779296875,34.11255254752233,-4.745484800874692,-3.6113462652686033
61.720001220703125,42.46656511127042,-4.530554223938026,-3.795187857002488
61.380001068115234,42.11909331597693,-4.337653593508186,-3.903681004303628
64.61000061035156,46.590070564116154,-3.879424890018555,-3.8988297814466133
61.935001373291016,43.587229899210556,-3.689594079813361,-3.856982641119963
63.70249938964844,46.06101323846372,-3.357822588121927,-3.757150630520356
63.5724983215332,45.901577925558655,-3.0699923298301854,-3.619718970382322
60.227500915527344,41.88426655366886,-3.0763360250399145,-3.5110423813138403
61.23249816894531,43.484664415874725,-2.966077475144786,-3.4020494000800294
60.352500915527344,42.38404352589841,-2.916090329771464,-3.3048575860183163
65.61750030517578,50.46264420429563,-2.4236948619455276,-3.128625041203759
64.85749816894531,49.386179080335424,-2.0709214337818196,-2.9170843197193714
66.51750183105469,51.804507604995514,-1.638509806946459,-2.661369417164789
66.99749755859375,52.51107168030092,-1.2427630349276484,-2.3776481407173606
68.3125,54.47996240694007,-0.813642001297282,-2.064846912833345
71.76249694824219,59.2530675279714,-0.1929503579801377,-1.6904676018627036
71.10749816894531,58.00940300357676,0.24329476317036836,-1.3037151288560893
71.67250061035156,58.81247162317108,0.6273810811848364,-0.9174958868479043
70.69999694824219,56.79890423646534,0.8435751284503112,-0.5652816837882613
69.23249816894531,53.80530916581682,0.8862791075497114,-0.2749695255206667
67.09249877929688,49.69227285953928,0.7389243921992374,-0.0721907419766859
69.0250015258789,53.1734097435754,0.7692145136069684,0.09609030914004495
68.75749969482422,52.63051535920713,0.7628409354393568,0.22944043439990733
70.74250030517578,56.2038625743604,0.9075016743339148,0.36505268238670885
70.7925033569336,56.293305309581534,1.0144868080885914,0.4949395075270854
69.6449966430664,53.58856960148583,0.9952069692336067,0.5949929998683897
71.93250274658203,57.92818320206439,1.151239411787401,0.706242282252192
73.44999694824219,60.562596353314255,1.3814211830171104,0.8412780624051757
72.26750183105469,57.53907861138087,1.451690240210425,0.9633604979662256
73.29000091552734,59.42537862129609,1.5717677448615746,1.0850419473452955
74.38999938964844,61.41144477372816,1.7356828447903752,1.2151701268343114
75.15750122070312,62.7803808836657,1.9055517119436303,1.3532464438561753
75.93499755859375,64.16716680468735,2.0789466665883793,1.4983864884026161
77.53250122070312,66.89640158984737,2.318541904195257,1.6624175715611444
78.75250244140625,68.84782372883873,2.5771588754340087,1.8453658323357174
77.85250091552734,65.76778008877821,2.6786146841642307,2.01201560270142
76.9124984741211,62.616922383876584,2.652591380189236,2.1401307581989832
77.38500213623047,63.561922672839735,2.6396663899475925,2.2400378845487054
76.92749786376953,61.92951280643733,2.5629622375112717,2.304622755141219
78.73999786376953,65.6890350760175,2.6182457393060474,2.3673473519741846
78.28500366210938,63.98095787780074,2.5954256321546296,2.4129630080102737
79.80750274658203,67.06686953299376,2.669422049163117,2.4642548162408424
79.2125015258789,64.7327614446549,2.6495112010177877,2.5013060931962317
79.72250366210938,65.83047907614767,2.6444016049221233,2.52992519554141
79.18250274658203,63.57412746717824,2.5671857331820576,2.53737730306954
79.52749633789062,64.41333290973729,2.504954145989444,2.530892671653521
79.5625,64.50269244067178,2.4304430333886984,2.5108027440005567
79.48500061035156,64.11880099034809,2.3381857370669934,2.4762793426138443
80.4625015258789,66.8025328432405,2.317235669255112,2.444470607942098
80.83499908447266,67.79117250735828,2.3041294593272994,2.4164023782191384
81.27999877929688,68.97967577214271,2.303101726813395,2.3937422479379897
80.58000183105469,64.92146242606276,2.2202101373565313,2.359035825821698
82.875,70.95481555281799,2.313041821346289,2.3498370249266163
83.36499786376953,72.05976851911133,2.3985018954127924,2.3595699990238517
85.99749755859375,77.10012821693172,2.6481244146199856,2.4172808821430785
88.20999908447266,80.3143842449129,2.9900154056402215,2.5318277868425074
83.9749984741211,62.291290990671015,2.885969661532414,2.602656161780489
84.69999694824219,63.78938873640868,2.8293984336110896,2.6480046161466095
85.74749755859375,65.89746823165147,2.836393691950221,2.685682431307332
