Close,RSI,Stochastic,MACD,MACD_Signal,EMA
29.161630630493164,55.372826701535836,89.60389850680589,-0.004853920474147344,-0.06851547432061397,28.885014999869746
29.116313934326172,54.32990518246077,86.63363737285847,0.012838974273940096,-0.05224458460170316,28.907043469817978
28.738670349121094,46.47435107610011,59.0424967459504,-0.003570798452877,-0.04250982737193793,28.89100793451351
28.209970474243164,38.15638919046145,5.769246334628914,-0.058562253731071934,-0.045720312643764735,28.826147224011574
28.021148681640625,35.6989296376166,9.473707994795163,-0.11604205823092784,-0.05978466176119736,28.749480696166724
26.986404418945312,25.86713116495595,10.693604492459773,-0.2422973783449045,-0.09628720507793878,28.581568669764685
26.601207733154297,23.295098272802463,38.03784951471081,-0.36918208125121055,-0.15086618031259313,28.39296286627798
28.081571578979492,45.65823082146526,71.77281598129257,-0.3462942672658116,-0.18995179770323684,28.363306553201934
27.41691780090332,40.017092573946876,58.0246671643094,-0.37743666006091914,-0.2274487701747733,28.273174291078256
28.83685874938965,53.2935929707339,91.18165800542656,-0.2842630555617589,-0.23881162725217045,28.32685852520315
28.081571578979492,47.29685747139751,73.54497401627968,-0.2682751561656609,-0.24470433303486855,28.303497863658038
27.968278884887695,46.452505509970685,70.89948032559374,-0.26172935125391916,-0.24810933667867868,28.271572246632292
26.20090675354004,35.734960454172466,29.62963622791562,-0.39460515160147125,-0.2774084996632372,28.074366009194932
27.07703971862793,42.7825611622202,50.08818609225156,-0.42432224979722477,-0.30679124969003474,27.979382552950455
26.072507858276367,37.68033563000753,26.631398168223434,-0.522902891092059,-0.35001357797043964,27.79777543917197
23.66314125061035,28.806564966023316,3.6241360491642682,-0.7863796141871013,-0.43728678521377196,27.404000754547056
26.03474235534668,43.02891515206967,47.22988506953225,-0.794658102682174,-0.5087610487074524,27.27359519271845
24.025680541992188,36.39578073337742,12.19180603256222,-0.9523552043897006,-0.597479879843902,26.964269987887377
25.483383178710938,43.23349405844115,38.63013679674765,-0.9487700429192927,-0.6677379124589802,26.82323314891819
24.81117820739746,41.04233220739407,32.62234380980626,-0.9887721501008855,-0.7319447599873613,26.63160886877336
23.527189254760742,37.167428720674714,11.292341249622943,-1.1112712428312577,-0.8078100565561406,26.335949857915015
21.4879150390625,31.99996551242171,2.6892249399982595,-1.3572594011477221,-0.9176999254744569,25.874232256119537
20.219032287597656,29.272810371929396,5.683676863465572,-1.635739238678923,-1.06130778811535,25.335641782926977
21.21601104736328,34.0300556876859,16.976335913193502,-1.755749475410905,-1.200196125574461,24.94329599858758
21.450151443481445,35.1335357675904,20.769920317599198,-1.811088182272286,-1.322374536914026,24.610615564767947
23.11178207397461,42.486027871867925,44.88579340244428,-1.7012538062152522,-1.3981503907742714,24.467869518025726
22.537763595581055,40.766938306714145,38.32822646931853,-1.6416043724673166,-1.4468411871128806,24.284049906364327
22.832326889038086,42.0624750951987,46.16241157483108,-1.5526648169478037,-1.4680059130798653,24.145790571380875
22.016616821289062,39.4868650908582,35.99062341889355,-1.5303595316524117,-1.4804766367943747,23.943012118991177
21.185800552368164,37.00167015825235,23.09495268633779,-1.5617198277975426,-1.4967252749950084,23.680420541217558
21.72205352783203,39.64219726903576,33.58393586802971,-1.5257144682982045,-1.5025231136556478,23.493909397085602
20.74018096923828,36.6159655648906,17.29322047200239,-1.5584440976575067,-1.5137073104560197,23.231649546814428
22.23564910888672,43.66932678758342,49.194722910659145,-1.4470303192330682,-1.5003719122114294,23.13679236224988
22.719032287597656,45.76998326291814,62.40248325442169,-1.304689466391018,-1.4612354230473472,23.09700568847348
22.575529098510742,45.23072311168756,77.91410884531506,-1.1897481470101212,-1.406937967839902,23.047341251334174
23.209970474243164,48.139870986369175,95.09202992592883,-1.0355253152770914,-1.33265543732734,23.062829748754076
22.802114486694336,46.43241282806653,81.11378590720122,-0.9354301234357116,-1.2532103745490144,23.037999723796005
23.5120849609375,49.77211809424273,99.23277737303593,-0.7897119709316378,-1.1605106938255392,23.083150698761862
22.726585388183594,46.33049472027906,72.63426234505707,-0.7292066951902179,-1.074249894098475,23.049192097754407
22.779455184936523,46.59815250116307,74.42453458992762,-0.6692746954217448,-0.9932548543631291,23.02350286796223
23.58761215209961,50.649647472109784,99.4999845323498,-0.5502240008388846,-0.9046486836582803,23.077227561689597
23.398792266845703,49.70087998936508,89.44847871546065,-0.4657428605923535,-0.816867519045095,23.107852771704465
22.560422897338867,45.61519173587314,62.82973882510966,-0.4611247903246216,-0.7457189733010005,23.055716593193456
22.25830841064453,44.204952141921154,53.23741922121714,-0.4763519616708223,-0.6918455709749648,22.979772956760225
22.280967712402344,44.343933184925945,53.95686590131589,-0.48104598966029144,-0.6496856547120301,22.91322007634519
22.439577102661133,45.36972760895209,45.016085786530816,-0.46658904040449656,-0.6130663318505234,22.868111221708617
23.066465377807617,49.34372016782905,62.069006805327575,-0.39993693524477436,-0.5704404525293736,22.887002093718046
23.149547576904297,49.86424773991068,66.81042177356503,-0.3365312992487368,-0.5236586218732462,22.91200642545007
23.738670349121094,53.51206607727556,83.82349800898163,-0.2360238556077796,-0.4661316686201529,22.99073632294255
23.013595581054688,48.80538200421951,48.529413130044276,-0.2124296991467105,-0.41539127472546444,22.992913395143706
22.58308219909668,46.20667909833606,27.573538627798868,-0.22586634550409457,-0.3774862888811905,22.953881852663034
22.356494903564453,44.853005226985395,16.544067470872825,-0.251894996903431,-0.35236803048563864,22.896987857510787
22.462236404418945,45.65316759745576,21.691191147975974,-0.26098199725465676,-0.3340908238394423,22.855582957216324
