Date,Open,High,Low,Close,Adj Close,Volume,RSI,Stochastic,MACD,MACD_Signal,EMA
2021-02-05,240.0,264.0,137.39999389648438,172.1999969482422,172.1999969482422,61700,,,,,
2021-02-08,165.0,165.0,145.5,153.0,153.0,20127,,,,,
2021-02-09,162.0,163.5,150.0,154.5,154.5,6010,,,,,
2021-02-10,154.5,208.8000030517578,151.5,203.6999969482422,203.6999969482422,21073,,,,,
2021-02-11,216.89999389648438,229.8000030517578,201.0,213.0,213.0,14767,,,,,
2021-02-12,213.0,219.89999389648438,198.0,214.5,214.5,6593,,,,,
2021-02-16,220.1999969482422,226.5,200.39999389648438,210.0,210.0,5577,,,,,
2021-02-17,210.0,210.0,185.6999969482422,208.5,208.5,4677,,,,,
2021-02-18,208.8000030517578,218.10000610351562,199.5,209.6999969482422,209.6999969482422,5367,,,,,
2021-02-19,208.5,213.0,198.0,208.8000030517578,208.8000030517578,3023,,,,,
2021-02-22,206.6999969482422,213.0,204.0,211.1999969482422,211.1999969482422,4173,,,,,
2021-02-23,204.0,206.39999389648438,186.75,201.0,201.0,3110,,,,,
2021-02-24,201.0,201.0,184.8000030517578,192.0,192.0,2620,,,,,
2021-02-25,195.0,195.0,174.0,174.3000030517578,174.3000030517578,6297,40.8279408757774,29.146925257730096,,,
2021-02-26,174.60000610351562,178.1999969482422,151.1999969482422,157.8000030517578,157.8000030517578,4737,33.37071984921846,14.590750422874788,,,
2021-03-01,165.0,166.8000030517578,152.39999389648438,153.3000030517578,153.3000030517578,5593,31.671678785530858,4.135342011976428,,,
2021-03-02,154.5,160.5,146.39999389648438,147.3000030517578,147.3000030517578,3660,29.513986102993314,1.0791475497296505,,,
2021-03-03,150.0,158.10000610351562,145.1999969482422,145.1999969482422,145.1999969482422,3167,28.77508036386004,0.0,,,
2021-03-04,147.60000610351562,147.60000610351562,128.39999389648438,129.3000030517578,129.3000030517578,6277,23.89684433059304,0.9174404681725945,,,
